"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","76","","99","209","172","137","","","","72","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","888979","","","","","","","","","","","","","","","","","","","1117896","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","312168","340548","","","","","","","","","","","","","","","547483","","","","","","","","","","441734","482195","515304","603347","","","","","","","","","",
"Albania","ALB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5388","6087","7116","","9401","9413","","","","10593","15309","13152","10446","6331","2626","","","","","","","",
"Andorra","AND","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5905431","6063337","6066683","6084910","6169901","6099983","6043502","6061221","6109132","5954580","5876602","5912121","5933725","5929597","5868390","5887056","5830530","5754181","5720246","5855129","5655649","5715658","6501987","6509026","6041449","6401448","5878331","5863862","5777100","5438239","5231112","4970814","4752694","4512213","4419682","4430324","4403007","4133425","3925417","3851198","3611490","3675857","3573783","3813221","3960807","3965433","3961725","4002040","4020699","4092747","",
"United Arab Emirates","ARE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","6639","","9882","13009","12046","16603","18424","20271","21205","14277","12561","8723","4864","4306","8865","11412","13883","14070","17905","23475","23301","","","","","","","","","6768","","","","","8360","9395","","","","","","","",
"Argentina","ARG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","61145","","","","60719","65236","","","","","","","","","","","","","","","","91413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9731","10537","","6449","3807","843","","","","2718","2023","2029","3779","4509","5293","5837","5376","6952","",
"American Samoa","ASM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
